First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Tom,Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,19,10,0,,tom-gallicchio
Turrell,Galloway,,"5' 3""",145 lbs.,--,,8,6,0,,turrell-galloway
Eric,Galvan,,--,155 lbs.,--,,0,0,0,,eric-galvan
Andre,Galvao,,"5' 7""",168 lbs.,--,Orthodox,5,2,0,,andre-galvao
Marcos,Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,18,8,1,,marcos-galvao
Lucas,Gamaza,,--,170 lbs.,--,,8,4,0,,lucas-gamaza
Joey,Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,9,2,0,,joey-gambino
Manvel,Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10,0,,manvel-gamburyan
Mateusz,Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,22,2,0,,mateusz-gamrot
Shamil,Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,14,1,0,,shamil-gamzatov
Ariel,Gandulla,,"5' 11""",205 lbs.,--,Orthodox,7,9,0,,ariel-gandulla
Ciryl,Gane,Bon Gamin,"6' 4""",245 lbs.,"81.0""",Orthodox,11,2,0,,ciryl-gane
Sean,Gannon,The Cannon,"6' 3""",265 lbs.,--,Southpaw,2,1,0,,sean-gannon
Eduardo,Garagorri,,"5' 9""",145 lbs.,"70.0""",Orthodox,13,2,0,,eduardo-garagorri
Cody,Garbrandt,No Love,"5' 8""",135 lbs.,"65.0""",Orthodox,13,5,0,,cody-garbrandt
Leonard,Garcia,Bad Boy,"5' 10""",145 lbs.,"68.0""",Orthodox,18,13,1,,leonard-garcia
Edgar,Garcia,,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,0,,edgar-garcia
Alejandro,Garcia,Alex,"5' 7""",145 lbs.,--,,14,10,0,,alejandro-garcia
Alex,Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72.0""",Orthodox,15,6,0,,alex-garcia
Nick,Garcia,Nitro,"5' 4""",125 lbs.,--,,8,3,0,,nick-garcia
Steve,Garcia,Mean Machine,"6' 0""",145 lbs.,"75.0""",Southpaw,13,5,0,,steve-garcia
Elias,Garcia,,"5' 5""",125 lbs.,"67.0""",Southpaw,6,2,0,,elias-garcia
Rafa,Garcia,Gifted,"5' 7""",155 lbs.,"70.0""",Orthodox,15,3,0,,rafa-garcia
Fernie,Garcia,,"5' 7""",135 lbs.,"67.0""",Orthodox,10,3,0,,fernie-garcia
Rulon,Gardner,,"6' 3""",265 lbs.,--,Orthodox,1,0,0,,rulon-gardner
David,Gardner,,"5' 11""",155 lbs.,--,Orthodox,18,21,0,,david-gardner
Ian,Garry,The Future,"6' 3""",170 lbs.,"74.0""",Orthodox,11,0,0,,ian-garry
Pablo,Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,12,4,0,,pablo-garza
Azamat,Gashimov,,"5' 6""",125 lbs.,--,Orthodox,8,3,0,,azamat-gashimov
Brian,Gassaway,,"6' 1""",170 lbs.,--,Orthodox,29,20,2,,brian-gassaway
Kelvin,Gastelum,,"5' 9""",185 lbs.,"71.0""",Southpaw,17,8,0,,kelvin-gastelum
Willie,Gates,,"5' 8""",125 lbs.,"72.0""",Orthodox,12,7,0,,willie-gates
Melissa,Gatto,,"5' 5""",125 lbs.,"69.0""",Orthodox,8,1,2,,melissa-gatto
Louis,Gaudinot,Goodnight,"5' 3""",125 lbs.,"63.0""",Orthodox,8,4,0,,louis-gaudinot
Manuel,Gaxhja,,"5' 8""",155 lbs.,--,Switch,7,0,0,,manuel-gaxhja
Charlene,Gellner,Princess,"5' 2""",125 lbs.,--,,0,4,0,,charlene-gellner
Chad,George,Savage,"5' 6""",135 lbs.,"68.0""",Southpaw,16,8,0,,chad-george
Paul,Georgieff,,"6' 2""",170 lbs.,--,Orthodox,6,2,0,,paul-georgieff
Brian,Geraghty,Duke,"5' 7""",155 lbs.,--,Orthodox,26,18,1,,brian-geraghty
Derek,Getzel,The Pretzel,"6' 0""",155 lbs.,--,,8,5,0,,derek-getzel
Karine,Gevorgyan,The Princess,"5' 4""",125 lbs.,"63.0""",,3,3,0,,karine-gevorgyan
Darrel,Gholar,,"5' 8""",194 lbs.,--,Orthodox,5,6,0,,darrel-gholar
Tiki,Ghosn,,"5' 10""",170 lbs.,--,Orthodox,10,7,1,,tiki-ghosn
Christos,Giagos,The Spartan,"5' 10""",155 lbs.,"71.0""",Orthodox,19,10,0,,christos-giagos
Joe,Giannetti,,"6' 0""",155 lbs.,"74.0""",Southpaw,6,1,0,,joe-giannetti
Nick,Gibbons,,"5' 10""",155 lbs.,--,,2,1,0,,nick-gibbons
James,Giboo,,"5' 11""",170 lbs.,--,Orthodox,13,5,0,,james-giboo
Lance,Gibson,Fearless,"5' 9""",185 lbs.,--,Orthodox,4,5,0,,lance-gibson
Lee,Gibson,Lethal,"5' 7""",155 lbs.,--,,12,4,0,,lee-gibson
Cody,Gibson,The Renegade,"5' 10""",135 lbs.,"71.0""",Orthodox,15,7,0,,cody-gibson
Chase,Gibson,El Guero,"5' 10""",155 lbs.,"72.0""",Orthodox,9,5,0,,chase-gibson
Kenny,Giddens,,"5' 11""",155 lbs.,--,,12,7,0,,kenny-giddens
Thomas,Gifford,The Young Lion,"6' 1""",155 lbs.,"75.0""",Orthodox,14,9,0,,thomas-gifford
Joseph,Gigliotti,Capo,"5' 11""",185 lbs.,--,Orthodox,7,2,0,,joseph-gigliotti
Joey,Gilbert,,"5' 11""",155 lbs.,--,Orthodox,2,3,0,,joey-gilbert
Trevin,Giles,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,4,0,,trevin-giles
Kultar,Gill,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,12,8,0,,kultar-gill
Jesse,Gillespie,,--,185 lbs.,--,,3,2,0,,jesse-gillespie
Gregor,Gillespie,The Gift,"5' 7""",155 lbs.,"71.0""",Orthodox,14,1,0,,gregor-gillespie
Jason,Gilliam,,"6' 0""",170 lbs.,--,Orthodox,14,9,0,,jason-gilliam
Micheal,Gillmore,The Gentleman,"5' 11""",170 lbs.,"72.0""",Orthodox,6,5,0,,micheal-gillmore
Krishaun,Gilmore,,--,--,--,,0,1,0,,krishaun-gilmore
Alex,Gilpin,,"5' 7""",145 lbs.,--,Orthodox,11,1,0,,alex-gilpin
Bob,Gilstrap,,"6' 3""",200 lbs.,--,Orthodox,5,7,0,,bob-gilstrap
Eperaim,Ginting,The Wolfman,--,145 lbs.,--,,6,0,0,,eperaim-ginting
Demetrius,Gioulacos,,"5' 11""",185 lbs.,--,,0,1,0,,demetrius-gioulacos
Billy,Giovanella,Wolverine,"5' 8""",125 lbs.,--,,9,5,0,,billy-giovanella
He-Man,Gipson,,--,--,--,,1,2,0,,he-man-gipson
Israel,Giron,El Rojo,"5' 8""",155 lbs.,--,,19,5,0,,israel-giron
Brandon,Girtz,Cold Roll,"5' 7""",155 lbs.,--,,14,7,0,,brandon-girtz
Jason,Glaza,,"6' 0""",230 lbs.,--,,3,2,0,,jason-glaza
Mike,Glenn,,--,205 lbs.,--,,5,6,0,,mike-glenn
Ricky,Glenn,The Gladiator,"6' 0""",155 lbs.,"70.0""",Southpaw,22,6,2,,ricky-glenn
Mark,Godbeer,The Hand Of,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,0,,mark-godbeer
Clint,Godfrey,,"5' 6""",135 lbs.,--,Southpaw,13,3,0,,clint-godfrey
Loopy,Godinez,,"5' 2""",115 lbs.,"61.0""",Orthodox,8,3,0,,loopy-godinez
Jason,Godsey,,"6' 2""",230 lbs.,--,Orthodox,16,16,0,,jason-godsey
Allan,Goes,,"6' 0""",205 lbs.,--,Orthodox,10,5,2,,allan-goes
Billy,Goff,,--,170 lbs.,--,Switch,8,2,0,,billy-goff
